index,timestamp,metric_value,checks
233589,643.0,2910.231411,1.0
233603,643.0,1703.441688,1.0
233617,643.0,3126.871535,1.0
233631,643.0,2948.631371,1.0
233645,643.0,1691.199836,1.0
233659,643.0,1711.315919,1.0
233673,643.0,1630.395643,1.0
233687,643.0,2842.036797,1.0
233701,643.0,2852.261505,1.0
233715,643.0,3041.276927,1.0
233729,643.0,1745.46821,1.0
233743,643.0,1574.057832,1.0
233757,643.0,2861.045712,1.0
233771,643.0,1720.546121,1.0
233785,643.0,3100.007599,1.0
233799,643.0,1760.142079,1.0
233813,643.0,3045.474635,1.0
233827,643.0,1613.72512,1.0
233841,643.0,2912.46996,1.0
233855,643.0,3076.363662,1.0
233869,643.0,3002.303183,1.0
233883,643.0,1764.54307,1.0
233897,643.0,2870.777096,1.0
233911,643.0,2929.688631,1.0
233925,644.0,2996.034279,1.0
233939,644.0,1784.960908,1.0
233953,644.0,1753.096985,1.0
233967,644.0,1665.351217,1.0
233983,644.0,1693.994012,1.0
233997,644.0,1703.257834,1.0
234011,644.0,1686.515233,1.0
234025,644.0,3004.415396,1.0
234039,644.0,2999.698017,1.0
234053,644.0,3067.445862,1.0
234067,644.0,3066.95624,1.0
234081,644.0,1604.550742,1.0
234095,644.0,1711.447565,1.0
234109,644.0,2984.620093,1.0
234123,644.0,3050.739071,1.0
234137,644.0,1642.507704,1.0
234151,644.0,1612.149998,1.0
234165,644.0,2853.857481,1.0
234179,644.0,1692.432107,1.0
234193,644.0,2897.207578,1.0
234207,644.0,3051.612313,1.0
234221,644.0,2803.172866,1.0
234235,644.0,2955.711418,1.0
234249,644.0,3018.61381,1.0
234263,644.0,1710.812266,1.0
234277,644.0,3044.863147,1.0
234291,645.0,2835.759942,1.0
234305,645.0,1685.41934,1.0
234319,645.0,1602.812024,1.0
234333,645.0,2892.163889,1.0
234349,645.0,1727.464675,1.0
234363,645.0,1704.021816,1.0
234377,645.0,1698.684474,1.0
234391,645.0,1621.518605,1.0
234405,645.0,2674.359116,1.0
234419,645.0,3010.517583,1.0
234433,645.0,1667.955375,1.0
234447,645.0,1629.763764,1.0
234461,645.0,2878.00697,1.0
234475,645.0,3089.15064,1.0
